_id,YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU
41,PARK,KARABAĞLAR,YAŞAR KEMAL,6005 sokak ,UZUNDERE TOKİ OYUN GRUBU 1,175.8899999999999863575794734060764312744140625,,1
42,PARK,KARABAĞLAR,YAŞAR KEMAL, 6005 sokak ,UZUNDERE TOKİ OYUN GRUBU 2,108.659999999999996589394868351519107818603515625,,1
43,PARK,KARABAĞLAR,YAŞAR KEMAL,6005 sokak ,UZUNDERE TOKİ OYUN GRUBU 3,155.830000000000012505552149377763271331787109375,,1
44,PARK,KARABAĞLAR,YURTOĞLU,3946 sokak,YURTOĞLU MAHALLESİ PARKI,27099.25,1,1
45,PARK,BALÇOVA,BAHÇELERARASI,Mithatpaşa caddesi,AKIN AKIN PARKI ,4202.3199999999997089616954326629638671875,,1
46,PARK,BALÇOVA,İNCİRALTI,Mithatpaşa caddesi,BALÇOVA CUMHURİYET PARKI,10046.170000000000072759576141834259033203125,1,1
47,PARK,BALÇOVA,KORUTÜRK,Sakarya caddesi,BALÇOVA SAKARYA PARKI,20075.79999999999927240423858165740966796875,,1
48,PARK,BALÇOVA,EĞİTİM,Mithatpaşa caddesi ( balçova viyadüğü altı ),İKİZTEPELER PARKI,4436.1899999999995998223312199115753173828125,1,1
49,PARK,BALÇOVA,ÇETİN EMEÇ,Olimpiyat evleri,OLİMPİYAT EVLERİ,24959.56000000000130967237055301666259765625,1,1
50,PARK,BUCA,ATATÜRK,202/5 sokak,BUCA ATATÜRK MAHALLESİ 202/5 SOK. PARKI,1186.700000000000045474735088646411895751953125,1,1
51,PARK,BUCA,ÇAMLIKULE,220/27 sokak,AŞIK MAHSUNİ ŞERİF PARKI ,1864.109999999999899955582804977893829345703125,,1
52,PARK,BUCA,BUCA KOOP,1401 sokak,AYKENT PARKI ,3315.11000000000012732925824820995330810546875,1,1
53,PARK,BUCA,YAYLACIK,1025 sokak,BAHÇEKAPI PARKI,20808.0999999999985448084771633148193359375,1,1
54,PARK,BUCA,İNKILAP,133 sokak,BEYAZIT AYKUT PARKI,3092.98000000000001818989403545856475830078125,,
55,PARK,BUCA,MUSTAFA KEMAL,686/27 sokak,BUCA 686/27 SOKAK PARKI  ,933.8600000000000136424205265939235687255859375,1,1
56,PARK,BUCA,ADATEPE,2/1 sokak,BUCA ADATEPE 2/1 SOKAK PARKI,1663.98000000000001818989403545856475830078125,1,1
