_id,YESIL_ALAN_TURU,ILCE,MAHALLE,ADRES,PARK_ADI,YESIL_ALAN_MIKTARI,KONDISYON_TAKIMI,OYUN_GRUBU
42,PARK,BORNOVA,İNÖNÜ,768 Sokak,İNÖNÜ MAHAHALLESİ PARKI -1,2450.71999999999979991116560995578765869140625,1,1
43,REKREASYON ALANI,BORNOVA,KIZILAY,Yüzbaşı İbrahim Hakkı Caddesi,AŞIK VEYSEL REKREASYON ALANI,224599.75,3,3
44,PARK,BORNOVA,ERGENE,456/7 Sokak,ERGENE MAHALLESİ PARKI,2064.82000000000016370904631912708282470703125,1,1
45,REKREASYON ALANI,BORNOVA,ERGENE,Çilek Sokak,HOMEROS VADİSİ,556266.390000000013969838619232177734375,1,2
46,PARK,BORNOVA,EVKA 3,"",116 SOKAK DİYALİZ YAMAÇ,4500,,
47,PARK,BORNOVA,YUNUS EMRE,7520 Sokak,YUNUS EMRE MAHALLESİ PARKI (MUHTARLIK YANI),1167.15000000000009094947017729282379150390625,,1
48,PARK,BORNOVA,NALDÖKEN,1261 Sokak,NALDÖKEN MAHALLESİ PARKI,584.9099999999999681676854379475116729736328125,,1
49,PARK,BORNOVA,DOĞANLAR,1527 Sokak,DOĞANLAR MAHALLESİ PARKI,1093.51999999999998181010596454143524169921875,,
50,PARK,BORNOVA,YUNUS EMRE,"",YUNUS EMRE MAHALLESİ PARKI (7552 SOKAK) (ATA EKMEK ÖNÜ),561.3400000000000318323145620524883270263671875,,
51,PARK,BORNOVA,ÇAMKULE,4713 Sokak,ÇAMKULE PARKI,512.51999999999998181010596454143524169921875,,1
52,PARK,BORNOVA,YUNUS EMRE,7550 Sokak,YUNUS EMRE MAHALLESİ PARKI (7550 SOKAK),1557.26999999999998181010596454143524169921875,1,1
53,PARK,BORNOVA,IŞIKLAR,6014 Sokak,IŞIKLAR MAHALLESİ PARKI,485.20999999999997953636921010911464691162109375,,1
54,PARK,BORNOVA,YEŞİLÇAM,2004 Sokak,YEŞİLÇAM PARKI,2411.63999999999987267074175179004669189453125,1,1
55,REKREASYON ALANI,BORNOVA,ÇAMKULE,5748 Sokak,BEHÇET UZ REKREASYON ALANI,179999.39999999999417923390865325927734375,1,2
56,REKREASYON ALANI,BORNOVA,MERİÇ,5717 Sokak,MERİÇ YAŞAYAN PARKI,54501.5999999999985448084771633148193359375,,1
57,PARK,BORNOVA,RAFET PAŞA,Yıldırım Beyazıt Caddesi,ŞEHİT ÜSTEĞMEN ÖMER BOZKURT PARKI,5918.9499999999998181010596454143524169921875,1,1
58,AĞAÇLANDIRMA ALANI,ÇİĞLİ,AYDINLIKEVLER,6784 Sokak,FAKİR BAYKURT KORULUK ALAN,15650.02000000000043655745685100555419921875,,
59,YEŞİL ALAN,ALİAĞA,SİTELER,"",ALİAĞA İZBAN İSTASYONU ÖNÜ,9207.27000000000043655745685100555419921875,1,1
60,YEŞİL ALAN,ÇİĞLİ,ATAŞEHİR,8001/3 Sokak,ÇİĞLİ KASAPLAR MEYDANI,3849.90000000000009094947017729282379150390625,,
61,YEŞİL ALAN,ÇİĞLİ,ÇAĞDAŞ,8818 Sokak,SU İSALE HATTI,52614.9599999999991268850862979888916015625,1,1
62,PARK,ÇİĞLİ,BALATÇIK,"",ESENTEPE MAHALLESI PARKI (EVKA -5 KAVŞAĞI YANI PARKI),11926.309999999999490682967007160186767578125,,1
63,PARK,ÇİĞLİ,HARMANDALI GAZİ MUSTAFA KEMAL ATATÜRK,30 Ağustos Caddesi,HARMANDALI ATATÜRK MAHALLESİ PARKI (KUBİLAY PARKI),8119.1300000000001091393642127513885498046875,,
64,PARK,MENEMEN,GÖLCÜK,9422 Sokak ,MENEMEN GÖLCÜK MAHALLESİ PARKI (9422 SOKAK),2251.48000000000001818989403545856475830078125,,1
